#начална точка, крайна точка, часове, коментар
хижа Безбог, Попово езеро, 1.15,
хижа Безбог, хижа Пирин, 6,
хижа Безбог, заслон Тевно езеро, 3.30,
хижа Безбог, хижа Демяница, 4.30,
хижа Безбог, Кременски езера, 2.15,
Попово езеро, Кременски езера, 1.30,
хижа Безбог, връх Безбог, 1.30,
връх Полежан, връх Безбог, 2,
връх Безбог, връх Полежан, 2,
хижа Безбог, връх Полежан, 2.30,
хижа Демяница, връх Полежан, 4, през Газейски езера
Попово езеро, връх Джано, 1.30, 
Попово езеро, връх Дженгал, 1.30, през Самодивски езера
заслон Тевно езеро, връх Дженгал, 1.30, 
заслон Тевно езеро, връх Джано, 2.30,
хижа Демяница, Попово езеро, 3.30,
хижа Гоце Делчев, хижа Безбог, 2.30, по маркирана пътека
хижа Гоце Делчев, хижа Безбог, 0.30, с лифта
хижа Бъндерица, Байкушевата мура, 0.10, асфалт
хижа Бъндерица, пещерата Хана, 0.15,
хижа Бъндерица, връх Вихрен, 3, през Казаните
хижа Бъндерица, връх Вихрен, 3, по Джамджиев ръб
хижа Вихрен, връх Вихрен, 3,
хижа Бъндерица, хижа Вихрен, 0.30,
хижа Бъндерица, заслон Казана, 2, 
хижа Бъндерица, връх Кутело, 3.30,
хижа Бъндерица, заслон Кончето, 4, 
връх Кутело, заслон Кончето, 1, 
заслон Кончето, връх Кутело, 1, 
връх Вихрен, връх Кутело, 1.15,
Банско, хижа Бъндерица, 4, по маркирана пътека (алтернатива на асфалтовия път)
хижа Демяница, Валявишки езера, 2, 
хижа Демяница, Рибно Василашко езеро, 0.45, 
хижа Демяница, езера Тодорини очи, 2.30,
хижа Демяница, Превалски езера, 1.45,
хижа Демяница, хижа Вихрен, 4.30,
хижа Демяница, хижа Яне Сандански, 5.30,
хижа Демяница, хижа Каменица, 6.00, 
хижа Демяница, заслон Тевно езеро, 3.00 
хижа Демяница, хижа Пирин, 5.30,
хижа Демяница, хижа Безбог, 5.00,
хижа Демяница, връх Малък Типиц, 2.30,
хижа Демяница, връх Каймакчал, 2.30, 
хижа Демяница, Газейско езеро, 2.30, 
хижа Демяница, Стражите, 3.00,
Банско, хижа Демяница, 4.30, по маркирана пътека
Хайдушка поляна, хижа Демяница, 1,
Газейско езеро, връх Полежан, 1.30,
хижа Яне Сандански, Попинолъшки водопад, 0.10,
хижа Яне Сандански, хижа Каменица, 2,
хижа Яне Сандански, хижа Синаница, 5,
хижа Яне Сандански, хижа Вихрен, 7,
хижа Яне Сандански, хижа Пирин, 7,
хижа Яне Сандански, заслон Тевно езеро, 5,
хижа Яворов, Хайдушката чешма, 0.40,
връх Вихрен, хижа Вихрен, 2.30,
хижа Яворов, Яворова поляна, 1,
хижа Яворов, хижа Бъндерица, 8,
хижа Яворов, заслон Кончето, 4.30,
хижа Яворов, хижа Предел, 5.30,
хижа Яворов, Суходолско езеро, 1,
местност Бетоловото, хижа Яворов, 3, разклонът за местност Бетоловото (на шосето град Симитли-град Гоце Делчев)
хижа Синаница, Георгийски циркус, 2.30, пътеката не е маркирана
хижа Синаница, връх Синаница, 1.30,
хижа Синаница, циркус Голямо Спано поле, 1.30,
хижа Синаница, хижа Вихрен, 4, 
хижа Синаница, хижа Каменица, 5,
хижа Синаница, хижа Яне Сандански, 4,
хижа Синаница, заслон Спано поле, 2.30,
хижа Синаница, заслон Тевно езеро, 6,
заслон Спано поле, хижа Вихрен, 4.30,
заслон Спано поле, хижа Каменица, 3.30,
заслон Спано поле, хижа Яне Сандански, 2.30,
заслон Спано поле, хижа Синаница, 3, 
заслон Тевно езеро, Митрово езеро, 1,
заслон Тевно езеро, Превалски езера, 1,
заслон Тевно езеро, хижа Демяница, 2.30,
заслон Тевно езеро, хижа Вихрен, 6.30,
заслон Тевно езеро, хижа Каменица, 3,
заслон Тевно езеро, хижа Яне Сандански, 4,
заслон Тевно езеро, хижа Пирин, 2.30,
заслон Тевно езеро, хижа Безбог, 4,
заслон Тевно езеро, Кралевдворски циркус, 1.30,
заслон Тевно езеро, Попово езеро, 2,
заслон Тевно езеро, връх Дженгал, 1.30,
заслон Тевно езеро, връх Момин двор, 0.40,
заслон Тевно езеро, връх Каменица, 3, 
хижа Каменица, връх Каменица, 2.30,
хижа Каменица, хижа Пирин, 5,
хижа Каменица, заслон Тевно езеро, 3.30,
хижа Каменица, хижа Вихрен, 7,
хижа Каменица, хижа Демяница, 5.30,
хижа Каменица, хижа Синаница, 6.30,
хижа Каменица, хижа Яне Сандански, 1.30, 
хижа Каменица, заслон Спано поле, 2.30,
хижа Каменица, връх Куклите, 2,
хижа Каменица, връх Зъба, 3,
хижа Каменица, връх Яловарника, 4,
хижа Каменица, Маненкото езеро, 4.30,
местност Попина лъка, хижа Каменица, 2,
заслон Казана, връх Кутело, 1.30,
заслон Казана, връх Вихрен, 2,
заслон Казана, хижа Бъндерица, 1.30,
заслон Кончето, хижа Яворов, 4.30,
връх Кутело, хижа Бъндерица, 3, 
връх Вихрен, хижа Вихрен, 2.30,
хижа Малина, хижа Попови ливади, 5.30,
хижа Малина, хижа Пирин, 2,
хижа Пирин, хижа Малина, 2,
хижа Пирин, хижа Попови ливади, 7,
хижа Пирин, хижа Безбог, 6,
хижа Пирин, хижа Демяница, 7.30,
хижа Пирин, заслон Тевно езеро, 4,
хижа Пирин, хижа Каменица, 5.30,
хижа Пирин, Роженски манастир, 4.30,
Мелник, хижа Пирин, 6,
хижа Попови ливади, връх Ореляк, 2,
хижа Попови ливади, връх Свещник, 2,
хижа Попови ливади, хижа Малина, 5.15,
хижа Попови ливади, хижа Пирин, 7,
хижа Предел, хижа Яворов, 6.30,
хижа Предел, хижа Чакалица, 6,
Попово езеро, връх Кралев двор, 2.15,
заслон Тевно езеро, връх Кралев двор, 0.30,
хижа Пирин, връх Куклите, 4,
заслон Тевно езеро, връх Куклите, 4,
хижа Пирин, връх Зъба, 4,
заслон Тевно езеро, връх Зъба, 4,
хижа Пирин, връх Яловарника, 4,
заслон Тевно езеро, връх Яловарника, 4, 
хижа Вихрен, връх Вихрен, 3.30,
хижа Вихрен, връх Кутело, 3.30, през Казаните
